Wavelength_nm	Energy_eV	VOC_V	JSC_mA/cm2	FF_%	PCE_%
281.81818	4.4	0	0	0	0
281.94634	4.398	2.83077	2.77E-21	94.83786	7.44E-21
282.07461	4.396	2.83516	6.83E-21	94.84431	1.84E-20
282.203	4.394	2.84039	1.30E-20	94.85216	3.51E-20
282.33151	4.392	2.84518	2.18E-20	94.85913	5.88E-20
282.46014	4.39	2.84915	3.31E-20	94.86498	8.93E-20
282.58888	4.388	2.85389	4.96E-20	94.87208	1.34E-19
282.71774	4.386	2.8597	7.56E-20	94.8806	2.05E-19
282.84672	4.384	2.86535	1.12E-19	94.8887	3.05E-19
282.97581	4.382	2.87028	1.59E-19	94.89594	4.34E-19
283.10502	4.38	2.87457	2.18E-19	94.90218	5.94E-19
283.23435	4.378	2.87832	2.89E-19	94.90762	7.90E-19
283.3638	4.376	2.88157	3.74E-19	94.91227	1.02E-18
283.49337	4.374	2.88435	4.71E-19	94.91633	1.29E-18
283.62306	4.372	2.89588	8.29E-19	94.93293	2.28E-18
283.75286	4.37	2.91162	1.71E-18	94.95529	4.72E-18
283.88278	4.368	2.92436	3.12E-18	94.97337	8.67E-18
284.01283	4.366	2.93435	5.11E-18	94.98737	1.43E-17
284.14299	4.364	2.94357	8.10E-18	95.00022	2.27E-17
284.27327	4.362	2.95209	1.25E-17	95.0119	3.50E-17
284.40367	4.36	2.95933	1.82E-17	95.02195	5.12E-17
284.53419	4.358	2.96576	2.57E-17	95.03087	7.25E-17
284.66483	4.356	2.97235	3.65E-17	95.03975	1.03E-16
284.79559	4.354	2.97891	5.16E-17	95.04884	1.46E-16
284.92647	4.352	2.98483	7.11E-17	95.05687	2.02E-16
285.05747	4.35	2.99132	1.00E-16	95.06559	2.84E-16
285.18859	4.348	2.99948	1.50E-16	95.07655	4.28E-16
285.31983	4.346	3.00797	2.27E-16	95.08803	6.50E-16
285.4512	4.344	3.01553	3.32E-16	95.09807	9.53E-16
285.58268	4.342	3.0228	4.80E-16	95.10767	1.38E-15
285.71429	4.34	3.03014	6.94E-16	95.11749	2.00E-15
285.84601	4.338	3.03697	9.84E-16	95.12641	2.84E-15
285.97786	4.336	3.04297	1.35E-15	95.13425	3.91E-15
